filetype,threshold,accuracy,TP,FN,FP,TN
01. CSV,0.0,68.44,800,0,505,295
01. CSV,0.1,70.44,800,0,473,327
01. CSV,0.2,72.19,790,10,435,365
01. CSV,0.30000000000000004,27.88,0,800,354,446
01. CSV,0.4,32.44,0,800,281,519
01. CSV,0.5,42.0,0,800,128,672
01. CSV,0.6000000000000001,46.44,0,800,57,743
01. CSV,0.7000000000000001,48.56,0,800,23,777
01. CSV,0.8,49.5,0,800,8,792
01. CSV,0.9,49.88,0,800,2,798
01. CSV,1.0,49.94,0,800,1,799
01. CSV,1.1,50.0,0,800,0,800
01. CSV,1.2000000000000002,50.0,0,800,0,800
01. CSV,1.3,50.0,0,800,0,800
01. CSV,1.4000000000000001,50.0,0,800,0,800
01. CSV,1.5,50.0,0,800,0,800
01. CSV,1.6,50.0,0,800,0,800
01. CSV,1.7000000000000002,50.0,0,800,0,800
01. CSV,1.8,50.0,0,800,0,800
01. CSV,1.9000000000000001,50.0,0,800,0,800
01. CSV,2.0,50.0,0,800,0,800
02. TXT,0.0,20.5,0,800,472,328
02. TXT,0.1,21.62,0,800,454,346
02. TXT,0.2,23.06,0,800,431,369
02. TXT,0.30000000000000004,25.87,0,800,386,414
02. TXT,0.4,30.06,0,800,319,481
02. TXT,0.5,35.06,0,800,239,561
02. TXT,0.6000000000000001,40.31,0,800,155,645
02. TXT,0.7000000000000001,43.88,0,800,98,702
02. TXT,0.8,45.5,0,800,72,728
02. TXT,0.9,47.31,0,800,43,757
02. TXT,1.0,48.31,0,800,27,773
02. TXT,1.1,49.31,0,800,11,789
02. TXT,1.2000000000000002,49.75,0,800,4,796
02. TXT,1.3,50.0,0,800,0,800
02. TXT,1.4000000000000001,50.0,0,800,0,800
02. TXT,1.5,50.0,0,800,0,800
02. TXT,1.6,50.0,0,800,0,800
02. TXT,1.7000000000000002,50.0,0,800,0,800
02. TXT,1.8,50.0,0,800,0,800
02. TXT,1.9000000000000001,50.0,0,800,0,800
02. TXT,2.0,50.0,0,800,0,800
03. DLL,0.0,70.25,798,2,474,326
03. DLL,0.1,24.38,0,800,410,390
03. DLL,0.2,27.75,0,800,356,444
03. DLL,0.30000000000000004,31.69,0,800,293,507
03. DLL,0.4,35.31,0,800,235,565
03. DLL,0.5,37.81,0,800,195,605
03. DLL,0.6000000000000001,40.06,0,800,159,641
