entropy,class
6.449146615,0
6.468865918,0
3.686289916,0
6.043388216,0
5.960088706,0
6.019681079,0
5.898652914,0
6.27451955,0
6.12355335,0
6.251592383,0
5.996102762,0
6.179810465,0
5.987038753,0
5.553565411,0
4.352350482,0
6.11299432,0
6.041546218,0
5.920489377,0
4.716804369,0
5.784633977,0
5.703904937,0
6.034950063,0
6.401053106,0
5.782765838,0
5.799196842,0
5.991117538,0
5.603746168,0
4.921838052,0
5.735059855,0
5.612408934,0
5.382679842,0
5.060655594,0
5.838378763,0
6.543424666,0
5.586142304,0
5.684069428,0
5.746406232,0
5.938736588,0
5.702241707,0
5.74236285,0
5.840548056,0
6.089828507,0
2.875372748,0
6.085554505,0
5.826435643,0
3.722808561,0
5.033762821,0
5.89864611,0
5.657225739,0
4.408884846,0
5.878819336,0
6.025090156,0
4.387266766,0
6.01067398,0
5.419123567,0
3.484497895,0
5.954113355,0
6.746149924,0
6.522077285,0
6.64347004,0
6.60979182,0
6.60359591,0
6.750738022,0
6.610585282,0
6.652253078,0
6.757532942,0
6.669911188,0
6.660802224,0
6.596358003,0
6.735646512,0
6.566359697,0
6.619637173,0
6.615446481,0
6.747789003,0
6.749170462,0
6.630984816,0
6.584086034,0
6.76213505,0
6.681885175,0
6.682317373,0
6.600463488,0
6.625538309,0
6.690180472,0
6.679030323,0
6.757150152,0
6.599080765,0
6.692431287,0
6.663799009,0
6.756697666,0
6.76014507,0
6.650804858,0
6.728240372,0
6.628633273,0
6.744470984,0
6.642507766,0
6.601003832,0
6.612884936,0
6.625041924,0
6.515213365,0
6.679907168,0
6.729279328,0
6.669544604,0
6.780420476,0
6.671809334,0
6.716543109,0
6.611106623,0
6.612938817,0
6.588784194,0
6.564618551,0
6.777110527,0
6.678234782,0
6.691809308,0
6.674232177,0
6.726093621,0
6.746740732,0
6.568064082,0
6.710746156,0
6.616702876,0
6.737666934,0
6.679161672,0
6.6506879,0
6.679494611,0
6.776408248,0
6.698884767,0
6.577486532,0
6.628457506,0
6.627536548,0
6.615851638,0
6.730542233,0
6.669678237,0
6.626069587,0
6.429073006,0
6.592274835,0
6.661539794,0
6.564902228,0
6.688860625,0
6.216296698,0
6.187858109,0
5.541377195,0
6.602161953,0
6.457853207,0
6.408816798,0
6.290841177,0
6.542984945,0
6.69305852,0
6.697359167,0
6.713642251,0
6.706505119,0
6.775422143,0
6.759309894,0
6.76633185,0
6.72943326,0
6.658477821,0
6.527777354,0
6.716287003,0
6.690535114,0
6.746149542,0
6.626169334,0
6.67378608,0
6.67488726,0
6.620822525,0
6.619639264,0
6.665245553,0
6.734229174,0
6.741095908,0
6.594707837,0
6.709574986,0
6.616986898,0
6.211983298,0
5.950791278,0
3.853576925,0
6.043738223,0
5.302110206,0
6.044486096,0
5.549651793,0
6.160393954,0
5.920789922,0
5.709368199,0
6.036969659,0
4.685908767,0
5.828155008,0
5.97815001,0
6.000066798,0
6.043369495,0
6.093442999,0
5.881673419,0
5.846814061,0
5.98505229,0
4.58900478,0
6.180795814,0
3.762882858,0
5.285474565,0
6.028792135,0
3.805607609,0
3.763387874,0
3.694633848,0
5.920039955,0
6.237141086,0
5.821488727,0
5.875605769,0
7.075392748,0
5.86765328,0
6.20883227,0
6.292551428,0
5.941984869,0
6.335310713,0
6.332693493,0
4.666948689,0
6.112311118,0
5.97353466,0
2.832037407,0
6.133990571,0
6.282311117,0
6.630309852,0
6.335734952,0
3.43991069,0
5.824796551,0
5.897650814,0
5.653542371,0
6.580271147,0
6.209783545,0
6.407887645,0
5.904092246,0
6.605041456,0
3.775833032,0
5.840811073,0
6.197460343,0
6.537757733,0
5.768599913,0
6.322658738,0
5.78492315,0
7.283631653,0
5.876552608,0
5.413309107,0
7.371297395,0
6.027546022,0
6.07257379,0
5.944062092,0
5.773561999,0
5.727303856,0
5.300638498,0
5.663078577,0
5.301997832,0
4.307939615,0
5.755843323,0
5.857685667,0
5.987836695,0
4.034295473,0
6.621379227,0
5.977948608,0
5.988950023,0
6.132170662,0
5.731298426,0
5.726102049,0
5.505423234,0
5.567266885,0
5.928068346,0
4.872991691,0
5.848496591,0
5.888894158,0
6.056042958,0
6.509502445,0
5.8401006,0
5.669500015,0
4.6836263,0
5.915568904,0
6.182161779,0
6.144154562,0
5.760443196,0
5.705839796,0
6.428317862,0
6.454881225,0
6.296327847,0
5.919631013,0
6.109638267,0
4.622622445,0
5.764275218,0
4.964343607,0
5.980749525,0
5.884565787,0
6.283890813,0
5.999185609,0
6.209515509,0
5.617499642,0
5.884788844,0
5.443403699,0
4.389580948,0
6.22318453,0
3.706372565,0
2.925206051,0
3.995784508,0
5.990203916,0
5.583215911,0
5.448200883,0
6.272898341,0
6.620031186,0
5.834170269,0
2.813961148,0
6.069380608,0
5.830686957,0
6.196877611,0
5.969542952,0
4.935677792,0
6.317936108,0
6.274014365,0
5.759354141,0
4.908969234,0
5.917552441,0
5.526222906,0
5.647642852,0
5.225526282,0
5.86903713,0
6.17780942,0
5.411878444,0
4.45191309,0
5.847383087,0
6.080234053,0
6.452774197,0
6.31932875,0
6.662312449,0
5.72132889,0
4.658635855,0
6.033303981,0
5.942343025,0
6.055775584,0
6.295638183,0
5.96080417,0
6.361942753,0
5.714198733,0
5.275944425,0
6.069073706,0
5.923356202,0
6.79275098,0
5.932329474,0
6.118124128,0
4.296139106,0
5.950754433,0
6.172238574,0
6.343599283,0
5.796044582,0
6.514933691,0
6.490576659,0
6.139973094,0
5.696840537,0
6.14509636,0
5.463683717,0
5.48050839,0
6.301412898,0
5.867215945,0
5.914821719,0
6.188616304,0
6.306569326,0
5.918233129,0
6.2988979,0
5.811965423,0
6.093707587,0
6.242075763,0
6.223402478,0
4.503769694,0
6.01703711,0
5.110057158,0
6.59260081,0
5.758070769,0
5.422627343,0
6.007217562,0
5.070635577,0
5.83611279,0
5.908268626,0
6.284373568,0
5.858225953,0
5.974713797,0
6.272849438,0
6.274692275,0
6.288120828,0
6.232282849,0
5.729445407,0
5.852544065,0
6.10524635,0
4.62910348,0
5.551258247,0
6.152183683,0
4.526258277,0
5.218140384,0
5.154479814,0
6.215874348,0
5.795687009,0
5.989994268,0
4.985506751,0
6.044416242,0
6.45333156,0
6.296089872,0
6.291502382,0
6.468416311,0
5.802721757,0
6.122092566,0
6.048401904,0
6.228654277,0
6.084069678,0
6.175980251,0
5.970677104,0
4.927645383,0
5.793404419,0
5.432166615,0
4.132442256,0
5.866515173,0
