entropy,class
5.387859445,0
6.030251358,0
7.979935711,0
6.481829313,0
5.537459781,0
4.791002617,0
5.230598932,0
5.250021702,0
7.983446605,0
5.240715815,0
5.038899745,0
7.982884955,0
7.681180442,0
7.962410809,0
6.585792801,0
6.548438374,0
5.864932908,0
7.936094542,0
6.540143429,0
7.941448594,0
6.603246336,0
6.28405359,0
6.574465294,0
6.847063385,0
6.894265102,0
5.571374478,0
7.892635767,0
7.958296566,0
5.004361847,0
6.015160318,0
5.238086763,0
6.034566865,0
5.376173757,0
6.312325222,0
7.991044515,0
7.988816641,0
6.492073364,0
4.344936393,0
5.030139379,0
3.959168189,0
7.99562136,0
7.942509324,0
4.93836113,0
5.753355506,0
6.943830176,0
5.864259286,0
6.051657466,0
6.050756077,0
6.353197628,0
5.927558688,0
6.236253463,0
7.956978256,0
7.971155219,0
5.88765969,0
7.993041736,0
5.915349728,0
5.785524137,0
7.98370434,0
6.272061878,0
5.949115237,0
7.964022514,0
7.981551215,0
7.974032914,0
7.947953545,0
7.870358728,0
7.90963979,0
6.245823224,0
5.155452107,0
7.981204169,0
6.341337236,0
7.93692807,0
7.99469614,0
7.911908696,0
6.202126277,0
5.055850234,0
4.557791498,0
6.034057564,0
6.535666956,0
7.924369528,0
7.917226551,0
6.241290397,0
7.913886478,0
7.967274658,0
5.211801776,0
6.190126676,0
7.933812761,0
4.998819098,0
6.486606184,0
5.124458614,0
4.918520902,0
5.282347186,0
5.856031621,0
5.747190457,0
6.262975459,0
5.902679127,0
5.633557806,0
5.691018835,0
7.984125327,0
7.972473049,0
6.146435609,0
7.981517774,0
5.522537556,0
6.260122907,0
3.622040397,0
6.663895124,0
7.963903045,0
7.94302199,0
6.302029878,0
7.830409321,0
5.877289244,0
6.370873928,0
6.086060979,0
7.987518202,0
5.939309508,0
7.987435848,0
7.976262822,0
5.491973888,0
6.59723018,0
4.451813629,0
6.250462446,0
7.907626334,0
7.977747612,0
7.989113534,0
7.899860734,0
6.120527779,0
6.308081685,0
5.855384462,0
5.699577087,0
5.970766116,0
7.789487363,0
7.908923933,0
7.97432688,0
5.728367919,0
7.94799824,0
7.931340624,0
7.931087317,0
6.710443464,0
7.932066101,0
6.560206102,0
6.315618197,0
7.640170683,0
7.773597577,0
7.912083871,0
4.975907948,0
6.160409855,0
5.854091009,0
7.964255866,0
6.130765107,0
