entropy,class
7.768698528,0
7.793773484,0
7.82176556,0
7.980415245,0
7.698138418,0
7.664343983,0
7.413680205,0
7.373483995,0
7.322029711,0
7.676711065,0
7.226339048,0
7.924152461,0
7.985035631,0
7.967497684,0
7.862935071,0
7.709426693,0
7.474304794,0
7.413680205,0
7.284799621,0
7.323309,0
7.93660965,0
7.621087118,0
7.793369346,0
7.927973316,0
7.664158951,0
7.921633636,0
7.741846717,0
7.950853298,0
7.928312619,0
7.804772858,0
7.979448428,0
7.882998487,0
7.428484099,0
7.931453309,0
7.350667982,0
7.916601775,0
7.985696167,0
7.551017755,0
7.959487803,0
7.44682189,0
7.433192363,0
7.487278672,0
7.792052836,0
7.935350374,0
7.734643252,0
7.370510023,0
7.865001016,0
7.515617032,0
7.376014906,0
7.226339048,0
7.577791669,0
7.158492859,0
7.098455979,0
7.122526371,0
7.279569838,0
7.72766106,0
7.914493906,0
7.720876143,0
7.555272441,0
7.797677118,0
7.909425567,0
7.916765772,0
7.559265158,0
7.580890872,0
7.576679125,0
7.630189756,0
7.743536908,0
7.376014906,0
7.665858505,0
7.793773484,0
7.969821839,0
7.864385733,0
7.794424912,0
7.229136062,0
7.250847027,0
7.946225664,0
7.827022965,0
7.671919184,0
7.410256805,0
7.7165883,0
7.168048138,0
7.663792544,0
7.436034369,0
7.729297205,0
7.741324514,0
7.559865038,0
7.639797285,0
7.262852631,0
7.345086471,0
7.679087791,0
7.413425166,0
7.575864456,0
7.698738378,0
7.077108875,0
7.903891549,0
7.623789417,0
7.121148369,0
7.638964174,0
7.330435094,0
7.944678114,0
7.520162427,0
7.030537723,0
7.229082643,0
7.065513499,0
7.43009114,0
7.2646002,0
7.054573808,0
6.913461826,0
7.29550883,0
7.581417911,0
7.294847899,0
7.854297727,0
7.541099887,0
7.002799736,0
7.262669317,0
7.384740443,0
7.180599105,0
7.25232602,0
7.154267366,0
7.184434025,0
7.360333202,0
7.796787303,0
7.237579672,0
7.946614265,0
7.459859416,0
7.557369056,0
7.624378075,0
7.874485872,0
7.532878831,0
7.743134023,0
1.537380867,0
7.322446495,0
7.562427,0
7.571901391,0
7.88348738,0
7.114294131,0
7.240869426,0
7.112376931,0
7.361039842,0
7.420434982,0
7.751415157,0
7.737544839,0
7.615238679,0
7.795717172,0
7.977776631,0
7.386075748,0
7.801658488,0
7.791015145,0
7.715477327,0
7.88348738,0
7.995429233,1
7.995202528,1
7.996983549,1
7.999137545,1
7.994078513,1
7.993193159,1
7.989216939,1
7.98807186,1
7.986073104,1
7.997863945,1
7.988500659,1
7.998007304,1
7.999185696,1
7.998694042,1
7.995705247,1
7.992473871,1
7.99178925,1
7.989216939,1
7.986100571,1
7.987651067,1
7.998818035,1
7.991908286,1
7.997284895,1
7.997432209,1
7.993505049,1
7.998544073,1
7.993624692,1
7.998476141,1
7.99800417,1
7.994214469,1
7.998822335,1
7.999173378,1
7.988658689,1
7.99849004,1
7.986990871,1
7.99770754,1
7.999141532,1
7.99125249,1
7.999172661,1
7.9898512,1
7.989377184,1
7.991703773,1
7.995205033,1
7.99804733,1
7.994600575,1
7.993629124,1
7.997066932,1
7.989910552,1
7.987655639,1
7.988500659,1
7.991596541,1
7.985094039,1
7.982192641,1
7.984217356,1
7.986802207,1
7.99470349,1
7.998429443,1
7.99910318,1
7.998936668,1
7.994415943,1
7.999397324,1
7.997771719,1
7.9988574,1
7.9926327,1
7.992929309,1
7.994237054,1
7.998865893,1
7.987655639,1
7.993002553,1
7.995202528,1
7.998996319,1
7.997662069,1
7.997861829,1
7.987270891,1
7.984934605,1
7.998276199,1
7.999280924,1
7.99472595,1
7.990327764,1
7.996976095,1
7.986914137,1
7.994425783,1
7.990003044,1
7.999120097,1
7.994789354,1
7.9915332,1
7.992948567,1
7.984754711,1
7.989211818,1
7.993876802,1
7.997240809,1
7.991439987,1
7.99919637,1
7.983118534,1
7.997957598,1
7.991988222,1
7.983317008,1
7.993402514,1
7.991369166,1
7.997961618,1
7.990129923,1
7.981551473,1
7.987375496,1
7.983624594,1
7.989137294,1
7.988280625,1
7.982298829,1
7.983695554,1
7.986298891,1
7.991280343,1
7.988446962,1
7.996141797,1
7.991194442,1
7.982103041,1
7.991019642,1
7.998650655,1
7.986165359,1
7.987603602,1
7.983645929,1
7.985240052,1
7.992426448,1
7.994478633,1
7.987301522,1
7.999174343,1
7.987940009,1
7.989410092,1
7.992355888,1
7.996489837,1
7.991719075,1
7.995068631,1
6.722324694,1
7.987943741,1
7.993174478,1
7.991932535,1
7.997900078,1
7.986633725,1
7.988940958,1
7.985542771,1
7.998587761,1
7.991653149,1
7.995363035,1
7.993019305,1
7.992912319,1
7.994813901,1
7.999435034,1
7.998641756,1
7.995260935,1
7.999280592,1
7.992618637,1
7.997900078,1
