entropy,class
7.793904403,0
6.960401102,0
7.573265632,0
7.77966532,0
7.461789875,0
7.520342791,0
7.523397611,0
7.767112554,0
7.93575865,0
7.954666939,0
6.892837974,0
7.938666339,0
7.936608759,0
7.897930794,0
7.832764185,0
7.174537642,0
5.05505256,0
7.675914654,0
7.202358355,0
6.915379064,0
7.087854749,0
7.778591937,0
7.090687998,0
7.419254671,0
7.916974722,0
6.731985243,0
7.141325987,0
7.056521511,0
7.62862876,0
6.199604517,0
7.996666386,1
7.986182735,1
7.991792904,1
7.995040467,1
7.99094618,1
7.988619094,1
7.993751355,1
7.996320982,1
7.998539319,1
7.998765095,1
7.97871769,1
7.998274464,1
7.998440757,1
7.998134778,1
7.996999219,1
7.985692104,1
7.997213791,1
7.996323222,1
7.985558649,1
7.984083509,1
7.986038151,1
7.995648626,1
7.988579119,1
7.988009143,1
7.998212527,1
7.975757295,1
7.987398445,1
7.989216119,1
7.991572889,1
7.998684124,1
