entropy,class
4.568675948,0
5.364791988,0
5.271118821,0
5.409877157,0
5.46055304,0
4.268428201,0
5.084784984,0
4.614823552,0
5.336076968,0
5.429721689,0
5.391026878,0
5.398320717,0
5.476806694,0
5.45958787,0
5.470362675,0
5.482469272,0
5.425521255,0
5.448334214,0
5.32402698,0
5.337434664,0
5.507168548,0
5.454326812,0
5.375359211,0
5.455595164,0
5.399805691,0
5.486055011,0
5.281511151,0
5.351388073,0
5.351388073,0
5.508760344,0
5.517586904,0
5.409713565,0
5.437182267,0
5.508831741,0
5.48774176,0
5.495361197,0
5.367317032,0
5.3844891,0
5.4672604,0
5.471928156,0
5.460652147,0
5.439155171,0
5.484516191,0
5.31812511,0
5.475225689,0
5.522930851,0
5.479844983,0
5.242483676,0
5.496946065,0
5.422470219,0
5.448650343,0
5.504893153,0
5.518145877,0
5.50148557,0
5.48626105,0
5.509281569,0
5.357374045,0
5.488348455,0
5.46658406,0
5.457604598,0
5.420189001,0
5.466479337,0
5.478937992,0
5.432108246,0
5.378439358,0
5.432893484,0
5.490887739,0
5.344869021,0
5.46657293,0
5.392457061,0
5.481585214,0
5.399181614,0
5.453733209,0
5.490256104,0
5.480228183,0
5.358321902,0
5.160012556,0
5.300287456,0
5.41079884,0
5.350249918,0
5.324428105,0
5.426967678,0
5.090552474,0
4.997543769,0
5.187975345,0
5.41310874,0
5.300271331,0
5.270659387,0
5.421470624,0
5.298954027,0
4.973243194,0
5.49434172,0
5.470143094,0
5.470712628,0
5.475368423,0
5.138205692,0
5.382635499,0
5.286921063,0
5.450921344,0
5.254449671,0
5.469212977,0
5.365472109,0
5.349284561,0
5.241330796,0
5.173357086,0
5.296830226,0
4.068729924,0
4.837367691,0
5.400591677,0
5.447034597,0
5.536382729,0
5.617043012,0
5.385996816,0
5.011513165,0
3.936784376,0
5.08703725,0
5.517092363,0
5.302206669,0
5.680902565,0
5.396151592,0
5.346223481,0
5.275897931,0
5.451391832,0
5.324267854,0
5.366517884,0
5.020740669,0
5.232650679,0
4.488896951,0
4.902736626,0
5.430821591,0
5.284437242,0
5.344427591,0
5.281664182,0
5.438617381,0
5.526477956,0
5.545907025,0
5.502414213,0
5.492837234,0
5.40985852,0
5.301911396,0
5.547018348,0
5.52483047,0
5.490576294,0
5.464631072,0
5.088381581,0
4.583940439,0
4.05933353,0
4.501317801,0
5.363252892,0
4.986331765,0
5.161490412,1
5.168412186,1
5.16919165,1
5.156109128,1
5.166872622,1
5.167392467,1
5.167934554,1
5.153637347,1
5.167361834,1
5.152888894,1
5.169190576,1
5.155580264,1
5.167184256,1
5.167276236,1
5.166024228,1
5.164966684,1
5.167780875,1
5.166049647,1
5.166653527,1
5.164500886,1
5.163222793,1
5.163830279,1
5.168724163,1
5.166210468,1
5.168427174,1
5.165267892,1
5.169429827,1
5.167723855,1
5.167723855,1
5.166681996,1
5.161084942,1
5.159325807,1
5.164328703,1
5.165436361,1
5.163590303,1
5.161281162,1
5.168587521,1
5.16442002,1
5.163447445,1
5.167094676,1
5.164061034,1
5.161975303,1
5.163576717,1
5.167962992,1
5.16716771,1
5.165133988,1
5.168071624,1
5.169283217,1
5.168317634,1
5.164643674,1
5.161719188,1
5.167718664,1
5.165726633,1
5.165020677,1
5.164742313,1
5.163135727,1
5.167256211,1
5.163596053,1
5.166142595,1
5.166911028,1
5.166059863,1
5.16682276,1
5.165536845,1
5.164342863,1
5.167087718,1
5.165533941,1
5.162079647,1
5.168410868,1
5.165628592,1
5.167067794,1
5.166059565,1
5.165536182,1
5.163341895,1
5.166355437,1
5.165093175,1
5.167781276,1
5.169225291,1
5.169459337,1
5.167098918,1
5.169384578,1
5.166207824,1
5.164027083,1
5.162506724,1
5.153725542,1
5.167022827,1
5.162165791,1
5.115368263,1
5.150382743,1
5.158839373,1
5.169063242,1
5.166154954,1
5.164966959,1
5.1607062,1
5.162199926,1
5.163643185,1
5.169359136,1
5.169783852,1
5.152118084,1
5.156428168,1
5.147413225,1
5.163506169,1
5.165408058,1
5.15489829,1
5.16851009,1
5.165831569,1
5.169446156,1
5.162347887,1
5.166039664,1
5.166371444,1
5.16736316,1
5.164713247,1
5.169021554,1
5.169793879,1
5.159701888,1
5.156833402,1
5.168466643,1
5.16767615,1
5.169394757,1
5.168681855,1
5.167772961,1
5.168547263,1
5.169391873,1
5.165310075,1
5.166004835,1
5.168271393,1
5.169880093,1
5.169172622,1
5.167268348,1
5.148782914,1
5.167229254,1
5.167426203,1
5.169571732,1
5.169321035,1
5.16277409,1
5.160096195,1
5.165123177,1
5.16407081,1
5.166325911,1
5.159170021,1
5.148966528,1
5.16557074,1
5.163071852,1
5.164409345,1
5.163442889,1
5.151193628,1
5.149888007,1
5.162741947,1
5.160511056,1
5.16232211,1
5.152141359,1
