entropy,class
5.018532064,0
4.832544418,0
5.085301451,0
4.867057876,0
4.961823831,0
4.381317559,0
5.132298495,0
5.062212541,0
5.112808208,0
4.875445029,0
5.100830438,0
5.158195682,0
5.261837474,0
5.37452155,0
4.807354487,0
4.90895198,0
4.90895198,0
5.237391641,0
4.75021223,0
5.388989888,0
5.449117348,0
4.29933249,0
3.86232163,0
5.06981683,0
5.024929802,0
4.667571818,0
4.893560694,0
5.195859445,0
4.900732208,0
4.513527783,0
4.850767037,0
4.472615887,0
4.624204244,0
4.963224134,0
5.105084355,0
4.88734319,0
5.330296591,0
5.295601091,0
5.153510723,0
5.244668435,0
5.343052532,0
5.418424952,0
5.293601079,0
5.06979409,0
5.046824184,0
5.095886646,0
4.875678952,0
5.169393423,0
4.942026792,0
4.898582588,0
5.12857897,0
5.105913181,0
5.009688652,0
5.249389885,0
4.920813511,0
5.191962944,0
5.288451074,0
4.472095221,0
4.58266905,0
4.872608428,0
4.97017978,0
5.27675093,0
5.15451731,0
5.085009484,0
5.311839131,0
4.398010124,0
5.242480639,0
5.477510029,0
5.136479729,0
5.053968942,0
4.55202793,0
5.178926124,0
4.453857317,0
4.434842238,0
5.273937009,0
4.939002064,0
4.427482211,0
4.590189811,0
5.289116159,0
4.822413095,0
4.546554397,0
4.803353247,0
5.233173215,0
5.10727422,0
4.329632942,0
5.077373046,0
4.376568387,0
5.182567661,0
4.159297322,0
5.225000571,0
5.11034236,0
5.153227348,0
5.089704241,0
4.4023941,0
5.063382041,0
4.71871084,0
5.043524924,0
4.850234618,0
5.177140763,0
4.972943407,0
5.293889573,0
3.795665525,0
5.007642733,0
5.138577778,0
5.435813158,0
3.447879606,0
5.022111364,0
5.242693624,0
5.256461314,0
5.476967479,0
5.067318344,0
4.922732095,0
4.998992008,0
5.03453923,0
5.169375434,0
5.102232522,0
5.207995999,0
5.095459669,0
5.162778033,0
5.183486654,0
5.096497615,0
5.028632016,0
5.363222753,0
3.875533849,0
4.40527216,0
5.241094607,0
5.00091511,0
5.031607712,0
5.021737162,0
5.407395669,0
4.417107082,0
5.093182534,0
5.360691533,0
5.220032278,0
4.807398754,0
4.846541689,0
3.478425157,0
4.783278129,0
4.891096631,0
5.21365259,0
5.110110809,0
5.279057764,0
5.002228733,0
5.428192914,0
5.217203175,0
4.398268501,0
4.919710059,0
4.021928095,0
4.82529123,0
4.911182528,0
4.642290404,1
4.642966733,1
4.641184388,1
4.641953131,1
4.642608012,1
4.637839575,1
4.627601919,1
4.642872015,1
4.642210653,1
4.640484746,1
4.637946549,1
4.642204594,1
4.64289662,1
4.638153154,1
4.642025096,1
4.643367238,1
4.643367238,1
4.640324917,1
4.640279514,1
4.642329274,1
4.638666794,1
4.638548992,1
4.638300281,1
4.641063173,1
4.643034466,1
4.640989929,1
4.642319809,1
4.597122379,1
4.626999786,1
4.639615913,1
4.640875057,1
4.638736055,1
4.642128851,1
4.643754929,1
4.63772705,1
4.642161705,1
4.641319134,1
4.641701791,1
4.643388355,1
4.638591751,1
4.643501392,1
4.638104357,1
4.642983304,1
4.64349791,1
4.642514304,1
4.643417762,1
4.640442584,1
4.641903926,1
4.641911458,1
4.64330529,1
4.642908511,1
4.643126239,1
4.638767561,1
4.641626056,1
4.640043079,1
4.642039656,1
4.63792634,1
4.643104157,1
4.636156089,1
4.642774041,1
4.640753589,1
4.63992563,1
4.634511571,1
4.643423382,1
4.642948211,1
4.64197475,1
4.643811769,1
4.643049276,1
4.643252498,1
4.626484933,1
4.640392254,1
4.64303753,1
4.629950839,1
4.640802238,1
4.639530993,1
4.642941648,1
4.643094474,1
4.641715665,1
4.643722994,1
4.643445309,1
4.641751227,1
4.642464195,1
4.643011506,1
4.643742759,1
4.634959911,1
4.643247665,1
4.635838373,1
4.642174148,1
4.636841875,1
4.642658486,1
4.643298705,1
4.642632734,1
4.642448461,1
4.638651584,1
4.643170122,1
4.636947191,1
4.639654789,1
4.639931,1
4.640505367,1
4.640968432,1
4.643709901,1
4.643696407,1
4.608941482,1
4.643630552,1
4.642186089,1
4.643674891,1
4.643741803,1
4.641754383,1
4.641076915,1
4.640339124,1
4.64182678,1
4.639160376,1
4.637801593,1
4.635094185,1
4.642750408,1
4.642832341,1
4.642565275,1
4.637936318,1
4.636527395,1
4.641451152,1
4.643468314,1
4.643401654,1
4.643728049,1
4.64360247,1
4.642781029,1
4.642583116,1
4.638471156,1
4.639505083,1
4.638009719,1
4.642543226,1
4.642604748,1
4.630596339,1
4.641159594,1
4.641932273,1
4.639677372,1
4.643050704,1
4.632422594,1
4.640034251,1
4.643577339,1
4.640931169,1
4.640783241,1
4.642108115,1
4.641959742,1
4.640185139,1
4.641574959,1
4.626800041,1
4.622084539,1
3.821441945,1
4.628676597,1
4.627790301,1
