entropy,class
7.978157957,0
7.843621228,0
7.936568902,0
7.97789756,0
7.989615524,0
7.68879777,0
7.969865697,0
7.856769311,0
7.97602463,0
7.89781971,0
7.990233061,0
7.942448622,0
7.850970007,0
7.963575517,0
7.967926702,0
7.920132652,0
7.992829249,0
7.757505175,0
7.969627514,0
7.99149843,0
6.428139692,0
7.860136963,0
6.960495086,0
7.858843805,0
7.852929463,0
7.814693356,0
7.914600264,0
7.594524877,0
7.939125591,0
7.973131088,0
7.987173729,0
7.861403344,0
7.986447931,0
7.863956011,0
7.977650289,0
7.889300854,0
7.976949489,0
7.989749381,0
7.981606172,0
7.906263812,0
7.726190675,0
7.963587052,0
7.967790211,0
7.98011723,0
7.87373444,0
7.972982154,0
7.932033655,0
7.942892083,0
7.96007142,0
7.901590905,0
7.986691478,0
7.920436238,0
7.950214724,0
7.97426855,0
7.660971856,0
7.947933101,0
7.910828758,0
7.982919249,0
7.846260122,0
7.863488421,0
7.964276988,0
6.87051871,0
7.920433959,0
7.983962831,0
7.982524974,0
7.950119231,0
7.981262416,0
7.920610103,0
7.939258986,0
7.581068565,0
7.912163467,0
7.523403867,0
7.943907901,0
7.749851397,0
7.910388441,0
7.897939319,0
7.776485808,0
7.818473464,0
7.935230215,0
7.986155197,0
7.888901948,0
7.979217525,0
7.970048015,0
7.930293119,0
7.871707459,0
7.905299758,0
7.698053409,0
7.986155197,0
7.627060085,0
7.86019999,0
7.764449476,0
7.97499376,0
7.668305318,0
7.920610103,0
7.963836837,0
7.862544841,0
7.676143264,0
7.678307324,0
7.978383819,0
7.969210919,0
7.987759606,0
7.976774144,0
7.741353139,0
7.981824961,0
7.963461882,0
7.767368813,0
7.990551559,0
7.945006537,0
7.984546405,0
7.735672611,0
7.745677696,0
7.873771454,0
7.981182992,0
7.644002977,0
7.993013423,0
7.975088436,0
7.972687534,0
7.465574765,0
7.963662021,0
7.930322522,0
7.759779027,0
7.956515323,0
7.954758298,0
7.886041846,0
7.989837032,0
7.99383955,0
7.913604576,0
7.968156799,0
7.954038753,0
7.984546405,0
7.901146508,0
7.776223926,0
7.723689944,0
7.800898496,0
7.75251975,0
7.983927479,0
7.619944126,0
7.915954716,0
7.862544841,0
7.249573201,0
7.31325058,0
7.736252528,0
7.95174956,0
7.965439419,0
7.860136963,0
7.822450884,0
7.978209886,0
7.844512818,0
7.881805023,0
7.95855064,0
7.99990594,1
7.998430385,1
7.999212425,1
7.999946372,1
7.999922687,1
7.998770616,1
7.999888387,1
7.99988423,1
7.999736948,1
7.999806998,1
7.999941019,1
7.999906647,1
7.999321832,1
7.999924653,1
7.999925249,1
7.999627289,1
7.999943097,1
7.997075536,1
7.999930599,1
7.999930337,1
7.999903283,1
7.999551962,1
7.999926696,1
7.999824573,1
7.999839005,1
7.999238452,1
7.999814561,1
7.998050515,1
7.999891801,1
7.999893783,1
7.999929706,1
7.999648818,1
7.999926938,1
7.999819277,1
7.999896385,1
7.99948729,1
7.999747899,1
7.999926501,1
7.999912405,1
7.999899039,1
7.998372002,1
7.999908055,1
7.999723817,1
7.999920287,1
7.999447057,1
7.999851804,1
7.999934148,1
7.999331111,1
7.999829788,1
7.999322841,1
7.999924489,1
7.999736472,1
7.999929113,1
7.999806859,1
7.999891083,1
7.999867578,1
7.999798844,1
7.999893338,1
7.9984815,1
7.999527495,1
7.999802465,1
7.999707148,1
7.999506586,1
7.999918198,1
7.999918401,1
7.999903264,1
7.999923998,1
7.999905949,1
7.999537786,1
7.999278503,1
7.999942361,1
7.999070634,1
7.999736828,1
7.998194988,1
7.999718889,1
7.999896612,1
7.997713459,1
7.999537019,1
7.999450928,1
7.999936006,1
7.999894907,1
7.999923459,1
7.999910217,1
7.999918743,1
7.999414242,1
7.999771395,1
7.998830378,1
7.999936006,1
7.995955848,1
7.999349241,1
7.999717389,1
7.99986111,1
7.997452676,1
7.999905949,1
7.999944904,1
7.998797646,1
7.998287039,1
7.998812904,1
7.999919295,1
7.999900963,1
7.99994888,1
7.99990666,1
7.998341219,1
7.99994594,1
7.999889093,1
7.998923235,1
7.999839138,1
7.99958061,1
7.999943598,1
7.99807216,1
7.998218827,1
7.999412855,1
7.99992049,1
7.999692463,1
7.999929207,1
7.999911053,1
7.99987441,1
7.999663381,1
7.999877934,1
7.99959984,1
7.998215612,1
7.999868392,1
7.99974567,1
7.999597961,1
7.999916613,1
7.999852785,1
7.999384386,1
7.999539838,1
7.999410951,1
7.999943598,1
7.998588297,1
7.999288035,1
7.999953595,1
7.996668672,1
7.997302216,1
7.999911693,1
7.996308566,1
7.999571804,1
7.998797646,1
7.997449822,1
7.999780209,1
7.998396445,1
7.999535405,1
7.999837788,1
7.999551962,1
7.998896568,1
7.999925095,1
7.999036795,1
7.998788361,1
7.999860597,1
